Running on node: odo02
Python3 executable path: /gpfs/wolf2/olcf/trn040/scratch/kmn3/envs/hf-transformers1/bin/python3
Current working directory: /gpfs/wolf2/olcf/trn040/scratch/kmn3
(22615, 2)
{'question': 'what are the signs and symptoms of CBB disease?', 'answers': 'The disease causes wilting, yellowing of the leaves, and rotting of the stems and roots'}
trainable params: 3,407,872 || all params: 8,033,669,120 || trainable%: 0.0424
{'loss': 4.4704, 'grad_norm': 1.3363944292068481, 'learning_rate': 4e-05, 'num_tokens': 616.0, 'mean_token_accuracy': 0.24281885728240013, 'epoch': 0.0}
{'loss': 4.4379, 'grad_norm': 2.726250410079956, 'learning_rate': 4e-05, 'num_tokens': 1139.0, 'mean_token_accuracy': 0.2342284144461155, 'epoch': 0.0}
{'loss': 3.8661, 'grad_norm': 6.161780834197998, 'learning_rate': 4e-05, 'num_tokens': 1719.0, 'mean_token_accuracy': 0.3362055326998234, 'epoch': 0.01}
{'loss': 3.7137, 'grad_norm': 5.373095989227295, 'learning_rate': 4e-05, 'num_tokens': 2337.0, 'mean_token_accuracy': 0.34826076686382296, 'epoch': 0.01}
{'loss': 3.4342, 'grad_norm': 6.438706874847412, 'learning_rate': 4e-05, 'num_tokens': 2992.0, 'mean_token_accuracy': 0.33476886138319967, 'epoch': 0.01}
{'loss': 3.4552, 'grad_norm': 5.638291835784912, 'learning_rate': 4e-05, 'num_tokens': 3602.0, 'mean_token_accuracy': 0.34207199186086656, 'epoch': 0.01}
{'loss': 3.1994, 'grad_norm': 13.5742769241333, 'learning_rate': 4e-05, 'num_tokens': 4195.0, 'mean_token_accuracy': 0.3746973930299282, 'epoch': 0.02}
{'loss': 3.4482, 'grad_norm': 8.633678436279297, 'learning_rate': 4e-05, 'num_tokens': 4813.0, 'mean_token_accuracy': 0.3479443515837193, 'epoch': 0.02}
{'loss': 3.1674, 'grad_norm': 7.544776916503906, 'learning_rate': 4e-05, 'num_tokens': 5395.0, 'mean_token_accuracy': 0.3675685065984726, 'epoch': 0.02}
{'loss': 3.1871, 'grad_norm': 7.0435895919799805, 'learning_rate': 4e-05, 'num_tokens': 5972.0, 'mean_token_accuracy': 0.3787406273186207, 'epoch': 0.02}
{'loss': 3.001, 'grad_norm': 10.397157669067383, 'learning_rate': 4e-05, 'num_tokens': 6591.0, 'mean_token_accuracy': 0.3895697468519211, 'epoch': 0.02}
{'loss': 2.9259, 'grad_norm': 10.518349647521973, 'learning_rate': 4e-05, 'num_tokens': 7135.0, 'mean_token_accuracy': 0.37753832817077637, 'epoch': 0.03}
{'loss': 3.0657, 'grad_norm': 11.562091827392578, 'learning_rate': 4e-05, 'num_tokens': 7732.0, 'mean_token_accuracy': 0.36993536695837975, 'epoch': 0.03}
{'loss': 2.7643, 'grad_norm': 9.23898983001709, 'learning_rate': 4e-05, 'num_tokens': 8315.0, 'mean_token_accuracy': 0.4116363078355789, 'epoch': 0.03}
{'loss': 2.8168, 'grad_norm': 7.192875862121582, 'learning_rate': 4e-05, 'num_tokens': 8925.0, 'mean_token_accuracy': 0.3784876720607281, 'epoch': 0.03}
{'loss': 2.9917, 'grad_norm': 9.700547218322754, 'learning_rate': 4e-05, 'num_tokens': 9476.0, 'mean_token_accuracy': 0.37470764145255087, 'epoch': 0.04}
